tnew ca_PZAP ca_PSYK
39.51140 0.17727 0.13546
39.60744 0.17756 0.13548
39.70348 0.17783 0.13549
39.79952 0.17811 0.13551
39.89556 0.17838 0.13553
39.99160 0.17866 0.13555
40.08764 0.17894 0.13557
40.18367 0.17923 0.13558
40.27971 0.17951 0.13560
40.37575 0.17979 0.13562
40.47179 0.18006 0.13563
40.56783 0.18034 0.13565
40.66387 0.18061 0.13567
40.75990 0.18089 0.13569
40.85594 0.18117 0.13570
40.95198 0.18144 0.13572
41.04802 0.18172 0.13574
41.14406 0.18201 0.13575
41.24010 0.18229 0.13577
41.33613 0.18258 0.13579
41.43217 0.18286 0.13580
41.52821 0.18314 0.13582
41.62425 0.18343 0.13584
41.72029 0.18371 0.13586
41.81633 0.18400 0.13587
41.91236 0.18428 0.13589
42.00840 0.18457 0.13591
42.10444 0.18485 0.13592
42.20048 0.18513 0.13594
42.29652 0.18542 0.13596
42.39256 0.18570 0.13597
42.48860 0.18598 0.13599
42.58463 0.18626 0.13601
42.68067 0.18654 0.13602
42.77671 0.18682 0.13604
42.87275 0.18709 0.13606
42.96879 0.18737 0.13608
43.06483 0.18765 0.13609
43.16086 0.18792 0.13611
43.25690 0.18819 0.13613
43.35294 0.18846 0.13614
43.44898 0.18873 0.13616
43.54502 0.18900 0.13618
43.64106 0.18927 0.13620
43.73709 0.18954 0.13621
43.83313 0.18981 0.13623
43.92917 0.19008 0.13625
44.02521 0.19035 0.13627
44.12125 0.19061 0.13628
44.21729 0.19088 0.13630
44.31333 0.19114 0.13632
44.40936 0.19141 0.13634
44.50540 0.19168 0.13635
44.60144 0.19194 0.13637
44.69748 0.19221 0.13639
44.79352 0.19248 0.13641
44.88956 0.19275 0.13643
44.98559 0.19302 0.13645
45.08163 0.19329 0.13646
45.17767 0.19356 0.13648
45.27371 0.19383 0.13650
45.36975 0.19410 0.13652
45.46579 0.19438 0.13654
45.56182 0.19465 0.13656
45.65786 0.19493 0.13658
45.75390 0.19520 0.13659
45.84994 0.19547 0.13661
45.94598 0.19574 0.13663
46.04202 0.19602 0.13665
46.13806 0.19629 0.13667
46.23409 0.19656 0.13668
46.33013 0.19683 0.13670
46.42617 0.19710 0.13672
46.52221 0.19737 0.13674
46.61825 0.19764 0.13676
46.71429 0.19791 0.13677
46.81032 0.19818 0.13679
46.90636 0.19845 0.13681
47.00240 0.19872 0.13683
47.09844 0.19900 0.13685
47.19448 0.19927 0.13686
47.29052 0.19954 0.13688
47.38655 0.19982 0.13690
47.48259 0.20009 0.13692
47.57863 0.20037 0.13694
47.67467 0.20065 0.13695
47.77071 0.20094 0.13697
47.86675 0.20122 0.13699
47.96279 0.20151 0.13701
48.05882 0.20179 0.13703
48.15486 0.20207 0.13704
48.25090 0.20235 0.13706
48.34694 0.20263 0.13708
48.44298 0.20291 0.13710
48.53902 0.20319 0.13712
48.63505 0.20347 0.13714
48.73109 0.20375 0.13715
48.82713 0.20403 0.13717
48.92317 0.20431 0.13719
49.01921 0.20459 0.13721
49.11525 0.20487 0.13723
49.21128 0.20515 0.13724
49.30732 0.20544 0.13726
49.40336 0.20573 0.13728
49.49940 0.20601 0.13730
49.59544 0.20630 0.13732
49.69148 0.20659 0.13733
49.78752 0.20688 0.13735
49.88355 0.20717 0.13737
49.97959 0.20746 0.13739
50.07563 0.20775 0.13740
50.17167 0.20804 0.13742
50.26771 0.20834 0.13744
50.36375 0.20863 0.13746
50.45978 0.20892 0.13748
50.55582 0.20920 0.13749
50.65186 0.20949 0.13751
50.74790 0.20978 0.13753
50.84394 0.21007 0.13755
50.93998 0.21036 0.13756
51.03601 0.21065 0.13758
51.13205 0.21094 0.13760
51.22809 0.21122 0.13761
51.32413 0.21150 0.13763
51.42017 0.21178 0.13765
51.51621 0.21206 0.13767
51.61224 0.21233 0.13768
51.70828 0.21261 0.13770
51.80432 0.21288 0.13772
51.90036 0.21316 0.13774
51.99640 0.21345 0.13775
52.09244 0.21373 0.13777
52.18848 0.21401 0.13779
52.28451 0.21430 0.13781
52.38055 0.21458 0.13782
52.47659 0.21487 0.13784
52.57263 0.21515 0.13786
52.66867 0.21544 0.13787
52.76471 0.21573 0.13789
52.86074 0.21602 0.13791
52.95678 0.21631 0.13792
53.05282 0.21660 0.13794
53.14886 0.21689 0.13796
53.24490 0.21718 0.13797
53.34094 0.21747 0.13799
53.43697 0.21776 0.13801
53.53301 0.21806 0.13802
53.62905 0.21835 0.13804
53.72509 0.21865 0.13805
53.82113 0.21894 0.13807
53.91717 0.21924 0.13809
54.01321 0.21953 0.13810
54.10924 0.21983 0.13812
54.20528 0.22012 0.13813
54.30132 0.22042 0.13815
54.39736 0.22071 0.13817
54.49340 0.22101 0.13818
54.58944 0.22130 0.13820
54.68547 0.22160 0.13821
54.78151 0.22189 0.13823
54.87755 0.22219 0.13825
54.97359 0.22248 0.13826
55.06963 0.22278 0.13828
55.16567 0.22308 0.13829
55.26170 0.22338 0.13831
55.35774 0.22368 0.13833
55.45378 0.22397 0.13834
55.54982 0.22426 0.13836
55.64586 0.22455 0.13837
55.74190 0.22485 0.13839
55.83794 0.22514 0.13841
55.93397 0.22543 0.13842
56.03001 0.22573 0.13844
56.12605 0.22602 0.13845
56.22209 0.22632 0.13847
56.31813 0.22661 0.13848
56.41417 0.22690 0.13850
56.51020 0.22719 0.13851
56.60624 0.22749 0.13853
56.70228 0.22778 0.13854
56.79832 0.22807 0.13856
56.89436 0.22836 0.13857
56.99040 0.22865 0.13859
57.08643 0.22894 0.13860
57.18247 0.22924 0.13862
57.27851 0.22953 0.13863
57.37455 0.22982 0.13865
57.47059 0.23011 0.13867
57.56663 0.23040 0.13868
57.66267 0.23068 0.13870
57.75870 0.23097 0.13871
57.85474 0.23126 0.13873
57.95078 0.23154 0.13874
58.04682 0.23183 0.13876
58.14286 0.23212 0.13877
58.23890 0.23241 0.13879
58.33493 0.23269 0.13880
58.43097 0.23298 0.13882
58.52701 0.23327 0.13883
58.62305 0.23356 0.13885
58.71909 0.23385 0.13886
58.81513 0.23415 0.13888
58.91116 0.23444 0.13889
59.00720 0.23473 0.13891
59.10324 0.23502 0.13892
59.19928 0.23531 0.13894
59.29532 0.23560 0.13895
59.39136 0.23589 0.13897
59.48739 0.23617 0.13898
59.58343 0.23645 0.13900
59.67947 0.23674 0.13901
59.77551 0.23703 0.13903
59.87155 0.23732 0.13904
59.96759 0.23761 0.13906
60.06363 0.23790 0.13907
60.15966 0.23819 0.13909
60.25570 0.23848 0.13910
60.35174 0.23878 0.13912
60.44778 0.23908 0.13914
60.54382 0.23937 0.13915
60.63986 0.23967 0.13917
60.73589 0.23997 0.13918
60.83193 0.24026 0.13920
60.92797 0.24055 0.13921
61.02401 0.24084 0.13923
61.12005 0.24114 0.13924
61.21609 0.24143 0.13926
61.31212 0.24172 0.13927
61.40816 0.24202 0.13929
61.50420 0.24231 0.13930
61.60024 0.24260 0.13931
61.69628 0.24289 0.13933
61.79232 0.24318 0.13934
61.88836 0.24347 0.13936
61.98439 0.24377 0.13937
62.08043 0.24406 0.13939
62.17647 0.24436 0.13940
62.27251 0.24465 0.13942
62.36855 0.24495 0.13943
62.46459 0.24524 0.13944
62.56062 0.24553 0.13946
62.65666 0.24583 0.13947
62.75270 0.24613 0.13949
62.84874 0.24642 0.13950
62.94478 0.24671 0.13952
63.04082 0.24700 0.13953
63.13685 0.24729 0.13954
63.23289 0.24758 0.13956
63.32893 0.24787 0.13957
63.42497 0.24816 0.13959
63.52101 0.24844 0.13960
63.61705 0.24873 0.13961
63.71309 0.24901 0.13963
63.80912 0.24930 0.13964
63.90516 0.24958 0.13966
64.00120 0.24986 0.13967
64.09724 0.25015 0.13968
64.19328 0.25043 0.13970
64.28932 0.25071 0.13971
64.38535 0.25099 0.13973
64.48139 0.25127 0.13974
64.57743 0.25155 0.13975
64.67347 0.25183 0.13977
64.76951 0.25211 0.13978
64.86555 0.25240 0.13980
64.96158 0.25268 0.13981
65.05762 0.25296 0.13982
65.15366 0.25325 0.13984
65.24970 0.25353 0.13985
65.34574 0.25382 0.13987
65.44178 0.25410 0.13988
65.53782 0.25439 0.13990
65.63385 0.25467 0.13991
65.72989 0.25496 0.13992
65.82593 0.25524 0.13994
65.92197 0.25553 0.13995
66.01801 0.25582 0.13997
66.11405 0.25611 0.13998
66.21008 0.25640 0.13999
66.30612 0.25669 0.14001
66.40216 0.25699 0.14002
66.49820 0.25728 0.14004
66.59424 0.25757 0.14005
66.69028 0.25786 0.14006
66.78631 0.25816 0.14008
66.88235 0.25845 0.14009
66.97839 0.25874 0.14011
67.07443 0.25903 0.14012
67.17047 0.25931 0.14013
67.26651 0.25960 0.14015
67.36255 0.25988 0.14016
67.45858 0.26016 0.14018
67.55462 0.26045 0.14019
67.65066 0.26073 0.14020
67.74670 0.26101 0.14022
67.84274 0.26129 0.14023
67.93878 0.26157 0.14024
68.03481 0.26185 0.14026
68.13085 0.26214 0.14027
68.22689 0.26242 0.14028
68.32293 0.26271 0.14030
68.41897 0.26299 0.14031
68.51501 0.26327 0.14033
68.61104 0.26355 0.14034
68.70708 0.26382 0.14035
68.80312 0.26410 0.14037
68.89916 0.26438 0.14038
68.99520 0.26465 0.14039
69.09124 0.26493 0.14041
69.18727 0.26520 0.14042
69.28331 0.26547 0.14043
69.37935 0.26575 0.14045
69.47539 0.26603 0.14046
69.57143 0.26631 0.14047
69.66747 0.26659 0.14049
69.76351 0.26687 0.14050
69.85954 0.26715 0.14051
69.95558 0.26743 0.14053
70.05162 0.26771 0.14054
70.14766 0.26799 0.14055
70.24370 0.26827 0.14057
70.33974 0.26855 0.14058
70.43577 0.26882 0.14059
70.53181 0.26910 0.14061
70.62785 0.26937 0.14062
70.72389 0.26964 0.14063
70.81993 0.26991 0.14065
70.91597 0.27018 0.14066
71.01200 0.27045 0.14067
71.10804 0.27071 0.14069
71.20408 0.27098 0.14070
71.30012 0.27125 0.14071
71.39616 0.27152 0.14073
71.49220 0.27178 0.14074
71.58824 0.27205 0.14075
71.68427 0.27232 0.14077
71.78031 0.27258 0.14078
71.87635 0.27285 0.14079
71.97239 0.27311 0.14081
72.06843 0.27338 0.14082
72.16447 0.27364 0.14083
72.26050 0.27389 0.14085
72.35654 0.27415 0.14086
72.45258 0.27440 0.14087
72.54862 0.27466 0.14089
72.64466 0.27492 0.14090
72.74070 0.27518 0.14091
72.83673 0.27543 0.14092
72.93277 0.27568 0.14094
73.02881 0.27594 0.14095
73.12485 0.27619 0.14096
73.22089 0.27644 0.14097
73.31693 0.27670 0.14098
73.41297 0.27696 0.14100
73.50900 0.27721 0.14101
73.60504 0.27747 0.14102
73.70108 0.27772 0.14103
73.79712 0.27797 0.14105
73.89316 0.27822 0.14106
73.98920 0.27847 0.14107
74.08523 0.27872 0.14108
74.18127 0.27896 0.14109
74.27731 0.27921 0.14111
74.37335 0.27945 0.14112
74.46939 0.27970 0.14113
74.56543 0.27995 0.14114
74.66146 0.28020 0.14115
74.75750 0.28044 0.14116
74.85354 0.28068 0.14118
74.94958 0.28092 0.14119
75.04562 0.28117 0.14120
75.14166 0.28141 0.14121
75.23770 0.28165 0.14122
75.33373 0.28189 0.14124
75.42977 0.28213 0.14125
75.52581 0.28236 0.14126
75.62185 0.28260 0.14127
75.71789 0.28284 0.14128
75.81393 0.28308 0.14130
75.90996 0.28332 0.14131
76.00600 0.28356 0.14132
76.10204 0.28380 0.14133
76.19808 0.28404 0.14134
76.29412 0.28428 0.14136
76.39016 0.28452 0.14137
76.48619 0.28477 0.14138
76.58223 0.28501 0.14139
76.67827 0.28524 0.14140
76.77431 0.28548 0.14142
76.87035 0.28572 0.14143
76.96639 0.28597 0.14144
77.06242 0.28621 0.14145
77.15846 0.28646 0.14146
77.25450 0.28670 0.14148
77.35054 0.28695 0.14149
77.44658 0.28719 0.14150
77.54262 0.28743 0.14151
77.63866 0.28766 0.14152
77.73469 0.28790 0.14153
77.83073 0.28814 0.14155
77.92677 0.28838 0.14156
78.02281 0.28862 0.14157
78.11885 0.28886 0.14158
78.21489 0.28911 0.14159
78.31092 0.28935 0.14161
78.40696 0.28960 0.14162
78.50300 0.28985 0.14163
78.59904 0.29010 0.14164
78.69508 0.29035 0.14165
78.79112 0.29059 0.14166
78.88715 0.29084 0.14168
78.98319 0.29109 0.14169
79.07923 0.29133 0.14170
79.17527 0.29158 0.14171
79.27131 0.29182 0.14172
79.36735 0.29206 0.14173
79.46339 0.29230 0.14175
79.55942 0.29254 0.14176
79.65546 0.29278 0.14177
79.75150 0.29302 0.14178
79.84754 0.29326 0.14179
79.94358 0.29350 0.14180
80.03962 0.29374 0.14182
80.13565 0.29398 0.14183
80.23169 0.29422 0.14184
80.32773 0.29445 0.14185
80.42377 0.29468 0.14186
80.51981 0.29492 0.14187
80.61585 0.29515 0.14189
80.71188 0.29537 0.14190
80.80792 0.29560 0.14191
80.90396 0.29583 0.14192
81.00000 0.29606 0.14193
81.09604 0.29628 0.14194
81.19208 0.29651 0.14195
81.28812 0.29674 0.14196
81.38415 0.29697 0.14197
81.48019 0.29719 0.14199
81.57623 0.29741 0.14200
81.67227 0.29763 0.14201
81.76831 0.29785 0.14202
81.86435 0.29806 0.14203
81.96038 0.29828 0.14204
82.05642 0.29849 0.14205
82.15246 0.29870 0.14206
82.24850 0.29891 0.14207
82.34454 0.29913 0.14208
82.44058 0.29934 0.14209
